LAUNCH_DATE,LAUNCH_SITE,NORAD_CAT_ID,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,COUNT
1957-10-04,TYMSC,2,96.1,65.0,1080.0,64.0,0.0,1
1957-11-03,TYMSC,3,103.74,65.33,1659.0,211.0,0.08,1
1958-02-01,AFETR,4,88.48,33.15,215.0,183.0,0.0,1
1958-03-17,AFETR,5,132.73,34.25,3832.0,651.0,0.122,1
1958-03-26,AFETR,6,103.6,33.5,1739.0,117.0,0.0,1
1958-05-15,TYMSC,8,88.43,65.06,255.0,139.0,11.84,1
1958-07-26,AFETR,9,92.81,50.25,585.0,239.0,0.0,1
1958-10-11,AFETR,110,0.0,0.0,0.0,0.0,0.0,1
1958-12-06,AFETR,111,0.0,0.0,0.0,0.0,0.0,1
1958-12-18,AFETR,10,98.21,32.29,1187.0,159.0,0.0,1
1959-01-02,TYMSC,112,0.0,0.0,0.0,0.0,0.0,1
1959-02-17,AFETR,11,121.42,32.88,2936.0,552.0,0.3931,1
1959-02-28,AFWTR,13,92.7,90.0,697.0,114.0,0.0,1
1959-03-03,AFETR,113,0.0,0.0,0.0,0.0,0.0,1
1959-04-13,AFWTR,14,90.4,89.9,346.0,239.0,0.0,1
1959-08-07,AFETR,15,762.25,46.95,42276.0,251.0,0.0,1
1959-08-13,AFWTR,44,177.82999999999998,158.93,603.0,280.0,0.0,2
1959-08-19,AFWTR,19,90.92,84.0,469.0,171.0,0.0,1
1959-09-12,TYMSC,114,0.0,0.0,0.0,0.0,0.0,1
1959-09-18,AFETR,20,124.56,33.34,3259.0,508.0,0.6412,1
1959-10-04,TYMSC,21,21563.22,55.0,499998.0,500.0,0.0,1
1959-10-13,AFETR,22,96.24,50.28,674.0,483.0,0.5003,1
1959-11-07,AFWTR,24,91.54,81.64,539.0,161.0,0.0,1
1959-11-20,AFWTR,25,88.03,80.65,239.0,115.0,0.0,1
1960-03-11,AFETR,27,0.0,0.0,0.0,0.0,0.0008,1
1960-04-01,AFETR,29,97.66,48.38,663.0,630.0,0.803,1
1960-04-13,AFETR,31,88.7,51.2,220.0,201.0,0.0,1
1960-04-15,AFWTR,32,89.7,80.1,377.0,142.0,0.0,1
1960-05-15,TYMSC,70,176.07999999999998,129.92,373.0,338.0,0.0,2
1960-05-24,AFETR,43,87.82,33.05,168.0,165.0,0.0,1
1960-06-22,AFETR,91,199.77,133.38,1840.0,1172.0,0.78,2
1960-08-10,AFWTR,48,89.39,82.85,272.0,216.0,0.0,1
1960-08-12,AFETR,49,92.7,47.19,419.0,394.0,0.0,1
1960-08-18,AFWTR,54,87.51,79.65,151.0,151.0,0.0,1
1960-08-19,TYMSC,55,90.67,64.9,307.0,307.0,0.0,1
1960-09-13,AFWTR,57,88.97,80.9,315.0,133.0,0.0,1
1960-10-04,AFETR,58,106.96,28.33,1209.0,963.0,1.2843,1
1960-11-03,AFETR,60,87.84,49.88,177.0,158.0,0.452,1
1960-11-12,AFWTR,61,88.41,81.86,226.0,166.0,0.0,1
1960-11-23,AFETR,63,87.72,48.44,163.0,160.0,0.878,1
1960-12-01,TYMSC,65,88.38,65.0,218.0,171.0,0.0,1
1960-12-07,AFWTR,67,89.08,81.48,279.0,179.0,0.0,1
1960-12-20,AFWTR,68,89.36,83.4,307.0,179.0,0.0,1
1961-01-31,AFWTR,70,88.09,97.22,185.0,175.0,0.0,1
1961-02-04,TYMSC,71,89.26,64.9,296.0,180.0,0.0,1
1961-02-12,TYMSC,157,88.61,65.01,242.0,169.0,0.0039,2
1961-02-16,WLPIS,81,93.01,38.84,559.0,285.0,0.0,1
1961-02-17,AFWTR,83,88.58,80.83,204.0,204.0,0.0,1
1961-02-18,AFWTR,84,89.3,80.63,276.0,204.0,0.0,1
1961-02-22,AFETR,87,88.09,28.38,225.0,135.0,0.0,1
1961-03-09,TYMSC,91,87.83,64.93,213.0,121.0,0.0,1
1961-03-25,AFETR,98,3678.0,33.9,145000.0,100.0,0.0,1
1961-03-25,TYMSC,95,88.0,65.0,176.0,176.0,0.0,1
1961-04-08,AFWTR,202,177.74,164.11,457.0,417.0,0.0,2
1961-04-12,TYMSC,103,89.33,64.95,314.0,168.0,0.0,1
1961-04-27,AFETR,107,102.15,28.79,1254.0,467.0,0.4538,1
1961-06-16,AFWTR,108,88.23,82.11,187.0,187.0,0.0,1
1961-06-29,AFETR,233,207.07,133.62,1973.0,1730.0,1.1725,2
1961-07-07,AFWTR,160,88.99,82.89,267.0,182.0,0.0,1
1961-07-12,AFETR,162,99.71,47.9,777.0,713.0,0.8244,1
1961-07-12,AFWTR,163,161.46,91.15,3543.0,3346.0,9.2155,1
1961-08-06,TYMSC,168,88.42,64.84,239.0,154.0,0.0,1
1961-08-15,AFETR,170,1594.62,33.83,76977.0,693.0,0.0,1
1961-08-23,AFETR,173,91.31,32.93,506.0,172.0,0.0,1
1961-08-25,WLPIS,180,96.43,36.42,810.0,365.0,0.0,1
1961-08-30,AFWTR,181,90.73,82.08,490.0,131.0,0.0,1
1961-09-12,AFWTR,182,89.21,82.62,281.0,190.0,0.0,1
1961-09-13,AFETR,183,88.4,32.54,241.0,149.0,0.0,1
1961-09-17,AFWTR,186,89.63,82.68,304.0,209.0,0.0,1
1961-10-13,AFWTR,189,88.87,81.64,232.0,204.0,0.0,1
