YEAR,NORAD_CAT_ID,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,COUNT
1957,1,96.19,65.1,938.0,214.0,20.42,1
1958,23,240.04000000000002,99.4,5795.0,858.0,0.2282,2
1959,52,934.01,130.27,43788.0,976.0,1.1244,3
1960,497,940.46,534.92,5052.0,4229.0,9.8873,10
1961,1950,1296.8000000000002,795.8599999999999,6912.0,4202.0,5.7678,14
1962,46065,5649.179999999999,2181.6900000000005,120885.0,10145.0,14.666699999999999,42
1963,19301,2956.7999999999993,1996.8799999999999,22670.0,8458.0,11.8025,31
1964,47926,6583.49,3239.8800000000006,139473.0,18636.0,84.2285,52
1965,139053,9292.460000000001,5374.929999999999,122563.0,35875.0,160.36669999999995,91
1966,232074,12564.049999999996,5705.91,218384.0,74354.0,59.5199,96
1967,333647,16996.219999999994,6368.140000000001,353677.0,102161.0,138.07800000000003,113
1968,371814,16984.460000000003,6394.070000000001,314497.0,125256.0,125.87160000000002,103
1969,443538,21974.450000000008,5804.570000000001,553401.0,134528.0,147.45680000000002,100
1970,549449,17857.139999999996,6547.649999999999,377278.0,130569.0,178.16289999999998,106
1971,605704,13676.709999999995,6758.74,248417.0,70037.0,283.28259999999995,113
1972,690958,16148.17,7155.4299999999985,336698.0,103793.0,265.9514,113
1973,813965,17129.370000000006,7428.810000000001,330812.0,102424.0,297.089,119
1974,933040,24049.209999999995,7496.4699999999975,567218.0,189805.0,333.5455999999999,123
1975,1204204,27261.149999999998,8589.210000000001,674437.0,252943.0,436.2934,145
1976,1391462,33651.030000000006,9172.830000000002,674215.0,343774.0,672.7747,152
1977,1577542,38467.78,8305.550000000003,1081372.0,320385.0,495.7966999999999,149
1978,1607409,24522.589999999993,8137.069999999998,579085.0,209221.0,535.9487000000001,145
1979,1584452,25371.310000000012,7790.1900000000005,474006.0,340021.0,325.1332000000001,131
1980,1565534,27191.179999999997,7929.3099999999995,730429.0,252120.0,440.94310000000013,131
1981,1936304,32862.689999999995,9153.670000000002,884568.0,333948.0,710.3156000000001,151
1982,2005746,32470.699999999986,9016.270000000002,842712.0,353007.0,1134.6561000000002,150
1983,2404962,39611.16,9743.120000000006,1030273.0,376816.0,1495.5182000000002,169
1984,2741191,45617.27000000002,9742.869999999997,1339516.0,529826.0,1593.6193999999998,181
1985,2689721,45851.740000000005,9694.990000000005,1447781.0,390445.0,2480.0920000000006,169
1986,2292244,27922.86999999999,8438.320000000003,701804.0,298296.0,2003.6995000000006,136
1987,2635474,34163.89,8527.290000000003,892703.0,423952.0,1934.6078999999997,145
1988,2995624,37276.86000000001,8627.210000000001,1088265.0,415409.0,2081.316099999999,154
1989,3034638,44963.61,7581.260000000006,1213108.0,578455.0,1515.3934000000002,151
1990,3502656,34129.72,8783.159999999996,874138.0,377688.0,1485.0622999999998,169
1991,2577024,33593.03,6213.480000000001,994162.0,419224.0,879.2834000000001,120
1992,3003215,42827.340000000004,6633.830000000001,1087115.0,375907.0,1185.4259000000004,136
1993,2405877,25283.429999999997,5344.160000000002,622071.0,338392.0,724.6911,106
1994,2946945,54547.51999999999,6041.569999999999,1330512.0,556334.0,893.0468000000002,127
1995,2221344,35439.77000000001,4212.499999999999,1156644.0,367866.0,903.3264999999997,94
1996,2172788,23652.15,3776.52,766145.0,214217.0,990.4641,90
1997,2468507,26123.300000000007,4403.55,805900.0,261427.0,1193.9798000000003,99
1998,2210072,47834.90999999998,4096.039999999999,1259668.0,140086.0,931.8559000000001,87
1999,2452097,24677.83000000001,4478.240000000002,834693.0,141099.0,1136.8864,95
2000,2746573,35456.359999999986,4358.639999999998,1156807.0,432092.0,1268.9321000000004,104
2001,1907077,19055.469999999987,2848.4100000000003,575353.0,236415.0,764.3204000000002,71
2002,1868272,21243.479999999996,3186.19,764259.0,130853.0,888.0857000000001,68
2003,2092691,22615.549999999992,2960.8200000000006,693714.0,303216.0,558.5879,75
2004,2069587,23105.14999999999,3310.449999999999,741791.0,254806.0,628.8272999999998,73
2005,1699685,16407.479999999996,2641.94,581249.0,160532.0,528.3898999999999,59
2006,2053162,20616.45,3296.4700000000003,832039.0,143029.0,796.4739000000002,70
2007,2321418,19786.829999999998,3686.9600000000005,729620.0,142716.0,582.0214,73
2008,2455915,33930.979999999996,3256.579999999999,1273985.0,280469.0,688.634,74
2009,2714790,26631.210000000003,3123.609999999999,1038026.0,248626.0,615.7693999999999,77
2010,2580299,24007.3,3356.8799999999987,919903.0,247134.0,603.5555,70
2011,2678465,22678.559999999998,3382.79,753719.0,302407.0,560.5979000000001,71
2012,2813978,28106.259999999995,3244.3299999999995,1072519.0,265689.0,735.4015000000002,73
2013,2747409,65545.43999999999,3469.869999999999,1500699.0,325988.0,691.4659,70
2014,3201926,72671.79000000002,3949.4799999999987,1840815.0,537704.0,600.4028000000002,80
2015,3224600,70249.78999999998,3580.080000000001,1919243.0,411647.0,695.1527999999998,79
2016,3121865,27997.290000000005,3291.2100000000023,1084370.0,265006.0,561.1997,75
2017,2947362,23324.94,2800.4100000000003,960775.0,166898.0,123.26100000000001,69
2018,4175348,72398.18000000001,4796.959999999999,1902650.0,456326.0,0.0,96
2019,3693416,24733.17,4362.36,881910.0,239185.0,0.0,83
2020,3231096,26261.01,3717.6999999999985,855926.0,147244.0,0.0,70
2021,4310013,20645.38,4514.210000000002,717569.0,135941.0,0.0,88
2022,619130,1707.3600000000001,802.97,39982.0,11734.0,0.0,12
